"","logFC"
"A4GALT",0.19127382
"AAAS",-0.0896009
"AACS",-0.24803483
"AADAC",0.42043291
"AADACP1",0.43169802
"AAED1",0.22758697
"AAGAB",-0.46963833
"AAK1",0.35638448
"AAMDC",-0.24873
"AAMP",-0.1342272
"AAR2",-0.05348191
"AARS",-0.5969934
"AARS2",-0.11263694
"AARSD1",-0.17105434
"AASDH",0.0566082
"AASDHPPT",-0.36784146
"AASS",-0.19656838
"AATF",-0.37045119
"ABCA1",-1.24151521
"ABCA10",0.25145144
"ABCA11P",0.0508524
"ABCA2",1.39837744
"ABCA3",-0.03155743
"ABCA5",0.39769975
"ABCA6",-0.87650831
"ABCA7",0.14936393
"ABCA8",0.14728476
"ABCA9",0.02388089
"ABCB1",-0.07216202
"ABCB10",0.20201731
"ABCB11",0.79832932
"ABCB6",1.77719456
"ABCB7",0.21608042
"ABCB8",-0.10648974
"ABCB9",0.73408785
"ABCC1",-0.17238764
"ABCC10",-0.30532138
"ABCC2",0.54837188
"ABCC3",0.39931432
"ABCC4",-0.3415012
"ABCC5",-0.27473277
"ABCD1",0.11749116
"ABCD3",-0.11977105
"ABCD4",-0.13335002
"ABCE1",-0.51627487
"ABCF1",-0.05041678
"ABCF2",-0.47284511
"ABCF3",0.32912742
"ABCG1",-2.63048762
"ABCG2",0.83538952
"ABHD10",-0.38371948
"ABHD11",0.69625436
"ABHD12",0.03492587
"ABHD13",-0.15281443
"ABHD14A-ACY1",0.21036785
"ABHD14A",0.49717411
"ABHD14B",0.14162987
"ABHD15",-0.24208601
"ABHD16A",-0.53371504
"ABHD17A",0.52864121
"ABHD17B",-0.16588963
"ABHD17C",-0.68734293
"ABHD2",-0.37396429
"ABHD3",0.52660726
"ABHD4",0.20144289
"ABHD5",-0.55304529
"ABHD6",-0.04532376
"ABHD8",0.92158171
"ABI1",0.03176285
"ABI2",-0.07859047
"ABI3",-0.48672615
"ABI3BP",1.10788402
"ABL1",0.45340636
"ABL2",-0.23367763
"ABLIM1",-0.13240858
"ABLIM3",-0.27054476
"ABR",0.04904081
"ABRACL",-0.18193423
"ABT1",0.11388106
"ABTB1",0.57294674
"ACAA1",-0.03923084
"ACAA2",0.27801916
"ACACA",-0.02928479
"ACAD10",-0.16936141
"ACAD11",0.49591013
"ACAD8",-0.14243927
"ACAD9",0.04960147
"ACADM",-0.29231791
"ACADS",0.60640628
"ACADSB",-0.03289311
"ACADVL",2.02733824
"ACAP2",-0.29854077
"ACAP3",0.10767122
"ACAT1",-0.12742618
"ACAT2",-0.49621337
"ACBD3",0.44282483
"ACBD4",-0.12573688
"ACBD5",1.30339588
"ACBD6",0.1029786
"ACBD7",0.22670403
"ACD",0.12577186
"ACE",-1.31059462
"ACER2",1.86642499
"ACER3",0.0698824
"ACIN1",-0.07200631
"ACKR3",-0.44688559
"ACKR4",-1.58452518
"ACLY",-0.16141837
"ACN9",0.13204644
"ACO1",0.25305241
"ACO2",0.17219773
"ACOT1",0.33715544
"ACOT11",0.92054771
"ACOT13",-0.34329626
"ACOT2",0.47097524
"ACOT4",2.45075213
"ACOT7",-0.17362601
"ACOT8",-0.03576645
"ACOT9",-0.13092536
"ACOX1",-0.27294172
"ACOX3",-0.20961486
"ACP1",0.00064541
"ACP2",0.42002755
"ACP6",-0.02659799
"ACRC",0.28455927
"ACSF2",0.22959009
"ACSF3",0.11677972
"ACSL1",-0.24430304
"ACSL3",-0.33501947
"ACSL4",-0.11953357
"ACSL5",-0.34443932
"ACSL6",7.02567156
"ACSS1",-1.23101319
"ACSS2",-0.48728458
"ACTA2",0.24819314
"ACTB",0.43082593
"ACTG1",0.18886913
"ACTL6A",-0.22899085
"ACTN1",-0.13881651
"ACTN4",0.01977193
"ACTR10",-0.08414732
"ACTR1A",-0.35336079
"ACTR1B",0.76974642
"ACTR2",-0.09231061
"ACTR3",-0.14941144
"ACTR3B",-0.12205555
"ACTR5",-0.17157844
"ACTR6",-0.2702343
"ACTR8",-0.27606361
"ACTRT3",0.76690077
"ACVR1",-0.24170484
"ACVR1B",0.04076157
"ACVR2A",-0.05276274
"ACVR2B",-0.04211593
"ACVRL1",-0.53827383
"ACY1",0.11130194
"ACYP1",-0.29723362
"ACYP2",1.15723635
"ADA",-0.28431405
"ADAL",0.54418493
"ADAM10",0.18056776
"ADAM12",2.72651518
"ADAM15",0.30545158
"ADAM17",0.05466968
"ADAM19",-0.96113648
"ADAM1A",0.23807878
"ADAM23",-0.12662924
"ADAM32",0.78775499
"ADAM9",0.39518928
"ADAMTS1",-0.32836829
"ADAMTS10",0.56480444
"ADAMTS18",-0.36056235
"ADAMTS3",-0.95894356
"ADAMTS4",-1.12731599
"ADAMTS6",0.23389854
"ADAMTS7",0.40827872
"ADAMTS9-AS2",3.8023523
"ADAMTS9",-1.4155009
"ADAMTSL1",0.07652563
"ADAMTSL4",0.53081015
"ADAR",-0.14045231
"ADARB1",0.482337
"ADAT1",-0.11253346
"ADAT2",-0.43949287
"ADAT3",0.28331135
"ADCK1",0.29852086
"ADCK2",-0.12484018
"ADCK3",0.58755841
"ADCK4",0.09687667
"ADCK5",0.06940444
"ADCY3",-0.05579234
"ADCY4",-0.72088139
"ADCY6",0.42755879
"ADCY7",0.35298925
"ADCY9",-0.25055009
"ADD1",0.06097019
"ADD3",0.73495436
"ADH5",-0.10606065
"ADI1",-0.00869726
"ADIPOR1",0.17133471
"ADIPOR2",0.04912305
"ADIRF",0.20801844
"ADK",-0.21514282
"ADM",1.87733221
"ADNP",0.22605527
"ADNP2",0.06473238
"ADO",-0.28282905
"ADORA2A",0.67653499
"ADORA2B",0.52744805
"ADPGK",0.41647782
"ADPRH",0.85280812
"ADPRHL2",0.74169562
"ADPRM",0.1634417
"ADRA1D",2.8164064
"ADRB1",2.96178123
"ADRB2",-0.92925608
"ADRBK1",0.48788566
"ADRBK2",3.33082972
"ADRM1",0.69211669
"ADSL",-0.22257193
"ADSS",-0.50063721
"ADSSL1",1.78633468
"ADTRP",-0.03846579
"AEBP1",0.21058168
"AEBP2",0.26387896
"AEN",-0.24703664
"AES",0.14909482
"AFAP1",-0.14946314
"AFAP1L1",1.12436374
"AFF1",0.16878618
"AFF3",0.55093056
"AFF4",0.37802217
"AFG3L1P",-0.1601978
"AFG3L2",-0.27231879
"AFMID",0.30970947
"AFTPH",-0.00418461
"AGA",0.61716927
"AGAP1",1.75709196
"AGAP2-AS1",0.10804291
"AGAP3",-0.19474784
"AGAP5",0.61553845
"AGAP6",0.4663822
"AGAP9",0.40783978
"AGBL5",-0.14121018
"AGFG1",-0.25883997
"AGFG2",-0.43041504
"AGGF1",0.24042084
"AGK",-0.17984495
"AGL",0.27134601
"AGMAT",-0.32628082
"AGO1",0.09072773
"AGO2",0.07731355
"AGO3",0.32115735
"AGO4",0.66127416
"AGPAT1",-0.0504947
"AGPAT2",-0.40721869
"AGPAT3",0.01403503
"AGPAT4",-0.1207755
"AGPAT5",0.90421988
"AGPAT6",-0.17857457
"AGPAT9",-0.7064094
"AGPS",-0.3873852
"AGRN",0.67048506
"AGTPBP1",0.7770591
"AGTRAP",-0.57408006
"AHCTF1",-0.17488399
"AHCTF1P1",-0.16786374
"AHCY",-0.26866188
"AHCYL1",-0.30543061
"AHCYL2",0.00922091
"AHDC1",0.11325966
"AHI1",0.02212415
"AHNAK",0.37631336
"AHNAK2",0.04208524
"AHR",-0.55501914
"AHRR",-0.45336792
"AHSA1",0.13270578
"AHSA2",0.24563628
"AIDA",0.189415
"AIF1L",-0.12455015
"AIFM1",-0.71029318
"AIFM2",0.4644019
"AIG1",0.78252021
"AIM1",0.40115719
"AIMP1",-0.26138282
"AIMP2",-0.55608474
"AIP",0.27349074
"AJUBA",0.44119819
"AK1",0.12149151
"AK2",1.73113895
"AK3",0.21978964
"AK4",3.81488209
"AK5",-0.26704366
"AK6",-0.53707643
"AK9",0.04151609
"AKAP1",-0.54959558
"AKAP10",0.46010503
"AKAP11",0.50799401
"AKAP12",1.1332178
"AKAP13",-0.30354097
"AKAP17A",0.2603796
"AKAP2",-0.30212506
"AKAP5",-0.70766749
"AKAP7",0.05535805
"AKAP8",-0.2861867
